,City,Country Code,Filename,Lat,Long
0,Mianyang,CHN,CHN_Sichuan.Mianyang.561960_CSWD.epw,31.45,104.73
0,Nanchong,CHN,CHN_Sichuan.Nanchong.574110_CSWD.epw,30.78,106.10
0,Songpan,CHN,CHN_Sichuan.Songpan.561820_CSWD.epw,32.65,103.57
0,Wanyuan,CHN,CHN_Sichuan.Wanyuan.572370_CSWD.epw,32.07,108.03
0,Xichang,CHN,CHN_Sichuan.Xichang.565710_CSWD.epw,27.90,102.27
0,Yibin,CHN,CHN_Sichuan.Yibin.564920_CSWD.epw,28.80,104.60
0,Tianjin,CHN,CHN_Tianjin.Tianjin.545270_CSWD.epw,39.08,117.07
0,Lhasa,CHN,CHN_Tibet.Lhasa.555910_CSWD.epw,29.67,91.13
0,LHASA,CHN,CHN_Tibet.Lhasa.555910_SWERA.epw,29.67,91.13
0,Nyingchi,CHN,CHN_Tibet.Nyingchi.563120_CSWD.epw,29.67,94.33
0,NYINGCHI,CHN,CHN_Tibet.Nyingchi.563120_SWERA.epw,29.57,94.47
0,PAGRI,CHN,CHN_Tibet.Pagri.557730_SWERA.epw,27.73,89.08
